,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,bollybubble,Bollywood Bubble - Your One Stop Destination For Latest Bollywood Updates.,"Mumbai, Maharashtra",440,132406,51202,1,"Sahil Shah identified as prime suspect in the drug probe of Sushant Singh Rajput case

#SushantSinghRajput #SahilShah #BollywoodBubble 

https://t.co/u7R5DqrcEf","['SushantSinghRajput', 'SahilShah', 'BollywoodBubble']"
1,sushantssmile,"ᴡᴀɴᴛɪɴɢ ᴛᴏ ʟɪᴠᴇ ᴀs ʏᴏᴜʀ sᴍɪʟᴇ
ᴊᴜsᴛ ᴏɴᴇ ʟᴀsᴛ ᴛɪᴍᴇ, 
ᴇᴠᴇʀʏ ᴛɪᴍᴇ...;)❤

| Leaders Are Readers | 
       #𝕾𝖚𝖘𝖍𝖆𝖓𝖙𝖎𝖓𝖌",∞,369,412,11591,17,"Somewhere' between neurons &amp; narratives..... 
#SushantSinghRajput #sushanting #thebesthero ❤ #Warriors4SSR https://t.co/g46RXEAmy8","['SushantSinghRajput', 'sushanting', 'thebesthero', 'Warriors4SSR']"
2,Namita67793491,Justice for SSR,,66,89,20550,5,Ppl trending National Embarrassment CBI - U R the embarrassment. Plz use ur brains!No investigating agency in the 🌎 gives updates 2 the public. ONLY the petitioners. U want updates? ASK THE FAMILY OF #SushantSinghRajput @SushantJustice1 @SelfMusing1 @TKhere4truth @blve2manifest,[]
3,being_grapher04,"Photographer.
Sushant Singh Rajput's Fan
SSR Forever ❤️
Justice For Sushant",भारत,82,27,20,0,"We all are missing your need. 
#SushantSinghRajput #JusticeForSushantSinghRajput #SSRWarriors #sushantkojusticekabmilega #SUSHANT @itsSSR @ssrwarriors_ @GauriTweets_ @_JusticeForSush @amitmuny @ThelegendSSR @FIGHTSSRIAN4SSR @fightfor_ssr_ @JagdeepSingh314 https://t.co/nf9zzYrp2o","['SushantSinghRajput', 'JusticeForSushantSinghRajput', 'SSRWarriors', 'sushantkojusticekabmilega', 'SUSHANT']"
4,sushantssmile,"ᴡᴀɴᴛɪɴɢ ᴛᴏ ʟɪᴠᴇ ᴀs ʏᴏᴜʀ sᴍɪʟᴇ
ᴊᴜsᴛ ᴏɴᴇ ʟᴀsᴛ ᴛɪᴍᴇ, 
ᴇᴠᴇʀʏ ᴛɪᴍᴇ...;)❤

| Leaders Are Readers | 
       #𝕾𝖚𝖘𝖍𝖆𝖓𝖙𝖎𝖓𝖌",∞,369,412,11591,1,"Hi All,

Please sign this petition.

#JusticeForSushantSinghRajput 
#SushantSinghRajput 

@censorboard: BOYCOTT MOVIE NYAAY - Sign the Petition! https://t.co/qVcYYVgwZl via @ChangeOrg_India","['JusticeForSushantSinghRajput', 'SushantSinghRajput']"
5,Bhumika93226564,,,372,547,52851,1882,"Thank you all for the unconditional Love &amp; support in these unbearable &amp; relentlessly trying times. Sushant, ma brother, you are much loved. Gratitude 🙏 #ssrians #ssr #SushantSinghRajput https://t.co/Amhq46O6t8",[]
6,ChimpGossip,"Your source for K-Drama, TV, Gaming, Reviews. Check out the website for the hottest fashion & more.",,283,22,2052,0,"#NationalEmbarrassmentCBI #PMNarendraModi #sushantsinghrajput
Sushant Singh Rajput Warriors Trend 'National Embarrassment CBI' &amp; 'SSR Justice Is Basic Right', Tag PM Narendra Modi- SEE POSTS

https://t.co/sqntoTNpwl https://t.co/hth2Aebm7o","['NationalEmbarrassmentCBI', 'PMNarendraModi', 'sushantsinghrajput']"
7,Ruchi4Tweets,"Voice For RIGHT! Quick with blocking so refrain from any kind of nonsense. Differences and discussions are welcomed, Arguments r not! If u assume don’t ask!",,250,1687,49057,1,"Hi All,

Please sign this petition.

#JusticeForSushantSinghRajput 
#SushantSinghRajput 

@censorboard: BOYCOTT MOVIE NYAAY - Sign the Petition! https://t.co/qVcYYVgwZl via @ChangeOrg_India","['JusticeForSushantSinghRajput', 'SushantSinghRajput']"
8,Bhumika93226564,,,372,547,52851,1798,"Remember how I went crazy with joy when you first shared this @itsSSR ... I love you for your unbelievable magic as an artist and you know, as I told you always, I am your biggest fan❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️   #SushantSinghRajput #2YearsOfSushantAsLakhna https://t.co/BWlXPQxbvl",[]
9,Harpree72889970,"bachlors in legislative law 
.(LLB) Advocate ,ISBP member.
Dubito Ergo, cogito Ergo sum(I Think There fore I Am) 
Photon in a double slit 💥",Khanna Punjab( India ),33,80,7798,2,"@smitaparikh2 @itsSSR Family lawyer must take a serious action now! Enough is Enough!

Sometimes I feel we have to raise voice for NIA Not CBI, CBI holding silence for what, 10 months to go still not able to find anything or just wanting when we stop our voice which is impossible! #SushantSinghRajput",[]
10,SanthoshArjun5,"Cult fan of @alluarjun ❤😎 #Pushpa @PawanKalyan   ❤😎
#VakeelSaab","Karnataka, India",252,239,65534,10193,"Deeply Saddened by this news . A Good actor who’s work I really admired. Condolences to his Family , near n dear ones . Very deeply disturbed . RIP #SushantSinghRajput https://t.co/aKE9qiB1Ah",[]
11,Almacreativa_1,A Dreamer | An Artist Soul                Who inspired a lot by Sushant Singh Rajput | Not SERI till Justice 💫,,87,220,5213,0,"☾

           🔭𖨆♡ @itsSSR 

Missing you badly my inspiration!

#SushantSinghRajput",['SushantSinghRajput']
12,Shiva08771517,a traveller through time and space.,,58,5,878,1,"#my11circle if you wanted to make your ad look absolutely shady and shitty with the bulliwood prick you hit the jackpot,ads are absolutely revolting #banbollywood #SushanthSinghRajput #SushantSinghRajput #sushantkojusticekabmilega #BoycottBollywood #BoycottBollywoodDruggies",['my11circle']
13,Shiva08771517,a traveller through time and space.,,58,5,878,1,"#my11circle if you wanted to make your ad look absolutely shady and shitty with the bulliwood prick you hit the jackpot,ads are absolutely revolting #banbollywood #SushanthSinghRajput #SushantSinghRajput #sushantkojusticekabmilega #BoycottBollywood #BoycottBollywoodDruggies","['my11circle', 'banbollywood', 'SushanthSinghRajput', 'SushantSinghRajput', 'sushantkojusticekabmilega', 'BoycottBollywood', 'BoycottBollywoodDruggies']"
14,RajivGu88725907,,,1,0,181,10107,"Absolutely shocked and stunned on learning about the demise of Sushant Singh Rajput! 
Unbelievable! Sincere condolences and prayers for his family. Rest in peace.. #SushantSinghRajput",[]
15,PriyankaJadav19,#justiceforssr #warrior4ssr #immortalssr #united4ssr,,2169,1631,95679,2,"@smitaparikh2 @itsSSR Family lawyer must take a serious action now! Enough is Enough!

Sometimes I feel we have to raise voice for NIA Not CBI, CBI holding silence for what, 10 months to go still not able to find anything or just wanting when we stop our voice which is impossible! #SushantSinghRajput",[]
